"zipcode","neighbour"
"37342","37301"
"37342","37324"
"37342","37330"
"33584","33592"
"33584","33594"
"33584","33610"
"33584","33637"
"33584","33510"
"33584","33527"
"33585","33513"
"33585","33514"
"33585","33521"
"33585","33538"
"33585","34785"
"33592","33584"
"33592","33637"
"33592","33647"
"33592","33527"
"33592","33540"
"33592","33541"
"33592","33543"
"33592","33565"
"37343","37341"
"37343","37377"
"37343","37379"
"37343","37415"
"37343","37416"
"37345","35745"
"37345","35761"
"37345","37306"
"37345","37328"
"37345","37335"
"33594","33584"
"33594","33596"
"33594","33510"
"33594","33511"
"33594","33527"
"33596","33594"
"33596","33511"
"33596","33527"
"33596","33547"
"37347","37340"
"37347","37374"
"37347","37380"
"37347","37397"
"37347","37419"
"37348","37359"
"37348","37306"
"37348","37334"
"37348","37335"
"37350","37409"
"37350","30750"
"61820","61821"
"61820","61822"
"61820","61874"
"61820","61801"
"61820","61802"
"53406","53144"
"53406","53177"
"53406","53126"
"53406","53402"
"53406","53403"
"53406","53404"
"53406","53405"
"53501","53511"
"53501","53548"
"53502","53508"
"53502","53520"
"53502","53521"
"53502","53536"
"53502","53566"
"53502","53570"
"53503","53507"
"53503","53517"
"53503","53560"
"53503","53582"
"53503","53583"
"53503","53588"
"61821","61820"
"61821","61822"
"61821","61874"
"53504","53516"
"53504","53522"
"53504","53530"
"53504","53541"
"53504","53566"
"53504","53570"
"53504","53587"
"53504","53599"
"53505","53525"
"53505","53546"
"53505","53190"
"53505","53114"
"53505","53115"
"53506","53533"
"53506","53543"
"53506","53556"
"53506","53573"
"53506","53588"
"53507","53503"
"53507","53517"
"53507","53533"
"53507","53544"
"53507","53572"
"53507","53582"
"53508","53502"
"53508","53521"
"53508","53570"
"53508","53572"
"53508","53574"
"53508","53575"
"53508","53593"
"61822","61820"
"61822","61821"
"61822","61840"
"61822","61851"
"61822","61853"
"61822","61866"
"61822","61874"
"61822","61875"
"61822","61878"
"61822","61880"
"61822","61802"
"61822","61815"
"53510","53530"
"53510","53807"
"53510","53818"
"53510","53565"
"61830","61839"
"61830","61856"
"61830","61882"
"61830","61818"
"61830","62501"
"61831","61834"
"61831","61844"
"61831","61865"
"61831","61812"
"53511","53501"
"53511","53520"
"53511","53525"
"53511","53546"
"53511","53548"
"53511","61024"
"53511","61072"
"53511","61080"
"53511","53576"
"53515","53517"
"53515","53528"
"53515","53560"
"53515","53572"
"53516","53504"
"53516","53530"
"53516","53544"
"53516","53565"
"53516","53570"
"53516","53572"
"53516","53574"
"53517","53503"
"53517","53507"
"53517","53515"
"53517","53560"
"53517","53572"
"61832","61833"
"61832","61834"
"61832","61858"
"61832","61883"
"61832","61817"
"53518","53805"
"53518","54655"
"53518","54631"
"53518","53573"
"61833","61832"
"61833","61834"
"53520","53502"
"53520","53511"
"53520","53536"
"53520","53548"
"53520","61019"
"53520","61024"
"53520","61072"
"53520","53550"
"53520","53566"
"53520","53576"
"53521","53502"
"53521","53508"
"53521","53536"
"53521","53575"
"53521","53589"
"61834","61831"
"61834","61832"
"61834","61833"
"61834","61844"
"61834","61846"
"61834","61858"
"61834","61865"
"61834","47932"
"61834","47974"
"61834","61883"
"61834","61811"
"61834","61814"
"61834","61817"
"53522","53504"
"53522","61089"
"53522","53566"
"53522","53587"
"61839","61830"
"61839","61842"
"61839","61854"
"61839","61856"
"61839","61882"
"61840","61822"
"61840","61843"
"61840","61845"
"61840","61853"
"61840","61866"
"61840","60936"
"61840","60957"
"53523","53531"
"53523","53534"
"53523","53538"
"53523","53551"
"53523","53589"
"53523","53594"
"61841","61844"
"61841","61849"
"61841","61850"
"61841","61858"
"61841","61876"
"61841","61810"
"61841","61817"
"53525","53505"
"53525","53511"
"53525","53546"
"53525","61012"
"53525","61065"
"53525","61080"
"53525","53114"
"53525","53585"
"02457","02481"
"02457","02482"
"02457","02492"
"02458","02459"
"02458","02460"
"02458","02467"
"02458","02472"
"02458","02135"
"02459","02458"
"02459","02460"
"02459","02461"
"02459","02465"
"02459","02467"
"02459","02468"
"02459","02492"
"02459","02494"
"02459","02132"
"02460","02458"
"02460","02459"
"02460","02465"
"02460","02472"
"02460","02453"
"02461","02459"
"02461","02464"
"02461","02468"
"02461","02492"
"02461","02494"
"02462","02466"
"02462","02468"
"02462","02481"
"02462","02493"
"02464","02461"
"02464","02468"
"02464","02481"
"02464","02494"
"02465","02459"
"02465","02460"
"02465","02466"
"02465","02468"
"02465","02453"
"02466","02462"
"02466","02465"
"02466","02468"
"02466","02493"
"02466","02453"
"02467","02458"
"02467","02459"
"02467","02130"
"02467","02132"
"02467","02135"
"02467","02445"
"02468","02459"
"02468","02461"
"02468","02462"
"02468","02464"
"02468","02465"
"02468","02466"
"02468","02481"
"02472","02458"
"02472","02460"
"02472","02478"
"02472","02135"
"02472","02138"
"02472","02453"
"02474","02476"
"02474","02478"
"02474","01890"
"02474","02140"
"02474","02144"
"02474","02155"
"02474","02420"
"02476","02474"
"02476","02478"
"02476","02420"
"02476","02421"
"02478","02472"
"02478","02474"
"02478","02476"
"02478","02138"
"02478","02140"
"02478","02421"
"02478","02452"
"02478","02453"
"02481","02457"
"02481","02462"
"02481","02464"
"02481","02468"
"02481","02482"
"02481","02492"
"02481","02493"
"02481","02494"
"02482","02457"
"02482","02481"
"02482","02492"
"02482","02493"
"02482","01760"
"02482","02030"
"02492","02457"
"02492","02459"
"02492","02461"
"02492","02481"
"02492","02482"
"02492","02494"
"02492","02026"
"02492","02030"
"02492","02090"
"02492","02132"
"02493","02462"
"02493","02466"
"02493","02481"
"02493","02482"
"02493","01760"
"02493","01773"
"02493","01778"
"02493","02451"
"02493","02453"
"02494","02459"
"02494","02461"
"02494","02464"
"02494","02481"
"02494","02492"
"02532","02538"
"02532","02542"
"02532","02553"
"02532","02558"
"02532","02559"
"02532","02561"
"02532","02562"
"02532","02360"
"02534","02536"
"02534","02542"
"02534","02556"
"02534","02559"
"02535","02575"
"75098","75166"
"75098","75002"
"75098","75048"
"75098","75087"
"75098","75089"
"75098","75094"
"75098","75407"
"75101","75119"
"75102","75110"
"75102","76679"
"75102","76626"
"75102","76641"
"75103","75117"
"75103","75124"
"75103","75127"
"75103","75140"
"75103","75142"
"75103","75147"
"75103","75169"
"75103","75752"
"75103","75754"
"75103","75790"
"75104","75115"
"75104","75137"
"75104","75154"
"75104","75052"
"75104","75054"
"75104","76063"
"75104","76065"
"75104","75236"
"75104","75249"
"75105","75109"
"75105","75119"
"75105","75143"
"75105","75144"
"75105","75153"
"75105","75155"
"75109","75105"
"75109","75110"
"75109","75144"
"75109","75153"
"75109","75155"
"75109","75859"
"75109","76681"
"75110","75102"
"75110","75109"
"75110","75119"
"75110","75155"
"75110","76679"
"75110","76681"
"75110","76626"
"75114","75119"
"75114","75126"
"75114","75142"
"75114","75158"
"75114","75159"
"75114","75160"
"75115","75104"
"75115","75134"
"75115","75137"
"75115","75146"
"75115","75154"
"75115","75232"
"75115","75237"
"75116","75137"
"75116","75236"
"75116","75237"
"75116","75249"
"75117","75103"
"75117","75127"
"75117","75169"
"75117","75440"
"75117","75472"
"75119","75101"
"75119","75105"
"75119","75110"
"75119","75114"
"75119","75125"
"75119","75143"
"75119","75152"
"75119","75155"
"75119","75158"
"75119","75159"
"75119","75165"
"75119","76623"
"75119","76626"
"75119","76651"
"75124","75103"
"75124","75147"
"75124","75148"
"75124","75156"
"75124","75751"
"75124","75752"
"75125","75119"
"75125","75141"
"75125","75146"
"75125","75152"
"75125","75154"
"75125","75159"
"75125","75172"
"75126","75114"
"75126","75159"
"75126","75160"
"75126","75181"
"75126","75182"
"75126","75032"
"75127","75103"
"75127","75117"
"75127","75140"
"75127","75440"
"75132","75189"
"75132","75087"
"75134","75115"
"75134","75141"
"75134","75146"
"75134","75172"
"75134","75232"
"75134","75241"
"75135","75164"
"75135","75189"
"75135","75401"
"75135","75402"
"75135","75442"
"75135","75474"
"48472","48475"
"48472","48471"
"48472","48426"
"48472","48427"
"48472","48453"
"48472","48726"
"48473","48507"
"48473","48532"
"48473","48554"
"48473","48429"
"48473","48433"
"48473","48436"
"48473","48439"
"48473","48449"
"48473","48451"
"42025","42029"
"42025","42044"
"42025","42048"
"42025","42051"
"42025","42054"
"42025","42066"
"42025","42082"
"42025","42020"
"48475","48472"
"48475","48470"
"48475","48413"
"48475","48427"
"48475","48456"
"48475","48465"
"48475","48726"
"48476","48429"
"48502","48503"
"42027","42051"
"42027","42066"
"42027","42069"
"42027","42082"
"42027","42003"
"42027","42001"
"42028","42047"
"42028","42078"
"42028","42081"
"42028","42083"
"42029","42025"
"42029","42044"
"42029","42045"
"42029","42058"
"42029","42081"
"42029","42082"
"42029","42003"
"48503","48502"
"48503","48504"
"48503","48505"
"48503","48506"
"48503","48507"
"48503","48509"
"48503","48519"
"48503","48532"
"42031","42032"
"42031","42039"
"42031","42041"
"42031","42050"
"42031","42088"
"42031","42021"
"42031","63834"
"42032","42031"
"42032","42021"
"42032","63834"
"42035","42039"
"42035","42051"
"42035","42053"
"42035","42060"
"42035","42061"
"42035","42069"
"42035","42087"
"42035","42023"
"42035","42001"
"42036","42048"
"42036","42071"
"42036","42020"
"42037","42411"
"42037","42064"
"48504","48503"
"48504","48505"
"48504","48532"
"48504","48433"
"48504","48458"
"42038","42411"
"42038","42445"
"42038","42055"
"42038","42064"
"42038","42211"
"42039","42031"
"42039","42035"
"42039","42051"
"42039","42061"
"42039","42066"
"42039","42088"
"42039","42021"
"42039","42023"
"42040","42049"
"42040","42054"
"42040","42066"
"42040","42071"
"42040","42079"
"42041","42031"
"42041","42050"
"42041","42079"
"42041","42085"
"42041","42088"
"42041","38226"
"42041","38237"
"42041","38257"
"42041","38261"
"48505","48503"
"48505","48504"
"48505","48506"
"48505","48437"
"48505","48458"
"29324","29307"
"29324","29329"
"29325","29108"
"29325","29178"
"29325","29335"
"29325","29351"
"29325","29355"
"29325","29360"
"29325","29370"
"29325","29379"
"27030","27041"
"27030","27053"
"27030","27007"
"27030","27017"
"27030","27024"
"27030","24171"
"27030","24317"
"27030","24351"
"27030","24076"
"27030","24053"
"27040","27045"
"27040","27050"
"27040","27106"
"27040","27018"
"27040","27023"
"27041","27030"
"27041","27043"
"27041","27047"
"27041","27053"
"27041","27007"
"27042","27052"
"27042","27025"
"27043","27041"
"27043","27047"
"27043","27050"
"27043","27053"
"27043","27018"
"27043","27021"
"27045","27040"
"27045","27050"
"27045","27105"
"27045","27106"
"27045","27019"
"27045","27021"
"27046","27048"
"27046","27016"
"27046","27022"
"27046","27025"
"27046","27027"
"27046","24165"
"27046","24171"
"27047","27041"
"27047","27043"
"27047","27007"
"27047","27011"
"27047","27017"
"27047","27018"
"27048","27046"
"27048","27288"
"27048","27025"
"27048","27027"
"27048","24148"
"27048","24165"
"27050","27040"
"27050","27043"
"27050","27045"
"27050","27018"
"27050","27021"
"27051","27052"
"27051","27101"
"27051","27105"
"27051","27284"
"27051","27009"
"27051","27019"
"27052","27042"
"27052","27051"
"27052","27053"
"27052","27357"
"27052","27009"
"27052","27016"
"27052","27019"
"27052","27021"
"27052","27025"
"27053","27030"
"27053","27041"
"27053","27043"
"27053","27052"
"27053","27016"
"27053","27021"
"27053","27022"
"27053","24171"
"27054","27013"
"27054","27014"
"27054","27028"
"27054","28147"
"27055","27011"
"27055","27018"
"27055","27020"
"27055","27023"
"27055","27028"
"27055","28634"
"27101","27051"
"27101","27103"
"27101","27104"
"27101","27105"
"27101","27107"
"27101","27110"
"27101","27127"
"27101","27284"
"27103","27101"
"27103","27104"
"27103","27127"
"27103","27012"
"27103","27023"
"27104","27101"
"27104","27103"
"27104","27105"
"27104","27106"
"27104","27012"
"27104","27023"
"27105","27045"
"27105","27051"
"27105","27101"
"27105","27104"
"27105","27106"
"27105","27019"
"27106","27040"
"27106","27045"
"27106","27104"
"27106","27105"
"27106","27109"
"27106","27023"
"27107","27101"
"27107","27110"
"27107","27127"
"27107","27265"
"27107","27284"
"27107","27295"
"27107","27360"
"27109","27106"
"27110","27101"
"27110","27107"
"27127","27101"
"27127","27103"
"27127","27107"
"27127","27295"
"27127","27012"
"43469","43551"
"43469","43416"
"43469","43430"
"43469","43431"
"43469","43443"
"43469","43450"
"43501","43521"
"43501","43531"
"43501","43554"
"43501","43570"
"43501","49232"
"43501","49288"
"43502","43521"
"43502","43545"
"43502","43553"
"43502","43555"
"43502","43557"
"43502","43567"
"43502","43570"
"43504","43540"
"43504","43558"
"43504","43560"
"43504","49228"
"43504","49267"
"43505","43518"
"43506","43512"
"43506","43517"
"43506","43519"
"43506","43526"
"43506","43543"
"43506","43549"
"43506","43556"
"43506","43557"
"43506","43570"
"43511","43462"
"43511","43516"
"43511","43529"
"43511","43534"
"43511","43541"
"43511","43569"
"43511","45872"
"43511","43413"
"43512","43506"
"43512","43519"
"43512","43527"
"43512","43545"
"43512","43548"
"43512","43549"
"43512","43555"
"43512","43556"
"43512","43557"
"43512","45821"
"43512","45831"
"43512","45879"
"43512","45873"
"43515","43532"
"43515","43533"
"43515","43540"
"43515","43558"
"43515","43567"
"43516","43511"
"43516","43524"
"43516","43529"
"43516","43534"
"43516","43535"
"43516","45856"
"43516","45858"
"43516","45872"
"43517","43506"
"43517","43518"
"43517","43526"
"43517","43543"
"43517","46721"
"43517","46742"
"43518","43505"
"43518","43517"
"43518","43543"
"43518","46721"
"43518","46737"
"43518","46742"
"43518","46703"
"43518","49232"
"43518","49255"
"43519","43506"
"43519","43512"
"43519","43557"
"43521","43501"
"43521","43502"
"43521","43533"
"43521","43567"
"43521","43570"
"43521","49256"
"43521","49288"
"43522","43532"
"43522","43534"
"43522","43547"
"43522","43566"
"43522","43569"
"43522","43571"
"43522","43402"
"43523","43534"
"43523","43535"
"43523","43545"
"43524","43516"
"43524","43527"
"43524","43535"
"43524","43548"
"43524","45856"
"43525","43402"
"43526","43506"
"43526","43517"
"43526","43536"
"43526","43556"
"43526","46721"
"43526","46743"
"43526","45813"
"43526","45821"
"43526","46785"
"43526","46788"
"43527","43512"
"43527","43524"
"43527","43535"
"43527","43545"
"43527","43548"
"43528","43537"
"43528","43542"
"43528","43558"
"43528","43560"
"43528","43615"
"43528","43617"
"97884","97837"
"97885","97827"
"97885","97828"
"97885","97857"
"97886","97827"
"97886","97862"
"97886","97810"
"97886","97813"
"97901","83628"
"97901","83660"
"97901","83676"
"97901","97910"
"97901","97913"
"97903","97907"
"97903","97908"
"97903","97909"
"97903","97918"
"97903","97920"
"97904","97911"
"97904","97720"
"97905","97907"
"97905","97814"
"97905","97819"
"97906","97911"
"97906","97918"
"97906","97920"
"97906","97910"
"97906","97913"
"97906","97721"
"97907","97870"
"97907","97903"
"97907","97905"
"97907","97908"
"97907","97909"
"97907","97914"
"97907","83672"
"97908","97837"
"97908","97903"
"97908","97907"
"97908","97911"
"97908","97920"
"97908","97819"
"97909","97903"
"97909","97907"
"97909","97914"
"97909","97918"
"97911","97904"
"97911","97906"
"97911","97908"
"97911","97920"
"97914","97907"
"97914","97909"
"97914","97918"
"97914","83619"
"97914","83661"
"97914","83672"
"97914","97913"
"97918","97903"
"97918","97906"
"97918","97909"
"97918","97914"
"97918","97920"
"97918","97913"
"97920","97903"
"97920","97906"
"97920","97908"
"97920","97911"
"97920","97918"
"71944","71973"
"71944","74734"
"71944","71841"
"73118","73103"
"73118","73105"
"73118","73106"
"73118","73107"
"73118","73112"
"73118","73116"
"71945","71953"
"71945","71972"
"71945","74957"
"71945","71937"
"73119","73128"
"73119","73139"
"73119","73159"
"73119","73179"
"73119","73108"
"73119","73109"
"71949","71956"
"71949","71957"
"71949","71968"
"71949","71970"
"71949","72087"
"71949","71909"
"71949","72857"
"71950","71952"
"71950","71958"
"71950","71959"
"71950","71921"
"71950","71943"
"71952","71950"
"71952","71959"
"71952","71971"
"71952","71935"
"71952","71943"
"73120","73132"
"73120","73134"
"73120","73142"
"73120","73162"
"73120","73114"
"73120","73116"
"73121","73131"
"73121","73141"
"73121","73151"
"73121","73084"
"73121","73111"
"73121","73117"
"73122","73127"
"73122","73132"
"73122","73008"
"73122","73107"
"73122","73112"
"73122","73116"
"73127","73122"
"73127","73128"
"73127","73008"
"73127","73099"
"73127","73107"
"73127","73108"
"73128","73119"
"73128","73127"
"73128","73179"
"73128","73099"
"73128","73108"
"73129","73135"
"73129","73139"
"73129","73149"
"73129","73102"
"73129","73104"
"73129","73109"
"73129","73115"
"73129","73117"
"71953","71945"
"71953","71960"
"71953","71961"
"71953","71972"
"71953","74937"
"71953","74939"
"71953","74957"
"71953","71935"
"71953","72926"
"71953","72958"
"73130","73141"
"73130","73150"
"73130","73020"
"73130","73110"
"73131","73121"
"73131","73151"
"73131","73013"
"73131","73105"
"73131","73111"
"73131","73114"
"71956","71949"
"71956","71968"
"71956","71909"
"71956","71913"
"73132","73120"
"73132","73122"
"73132","73162"
"73132","73008"
"73132","73099"
"73132","73116"
"73134","73120"
"73134","73142"
"73134","73013"
"73134","73114"
"71957","71949"
"71957","71960"
"71957","71961"
"71957","71965"
"71957","71968"
"71957","71969"
"71957","71970"
"73135","73129"
"73135","73145"
"73135","73149"
"73135","73150"
"73135","73160"
"73135","73165"
"73135","73115"
"73139","73119"
"73139","73129"
"73139","73149"
"73139","73159"
"73139","73160"
"73139","73170"
"73139","73109"
"71958","71950"
"71958","71852"
"71958","71940"
"73141","73121"
"73141","73130"
"73141","73151"
"73141","73020"
"73141","73049"
"73141","73066"
"73141","73084"
"73141","73110"
"73141","73117"
"71959","71950"
"71959","71952"
"71959","71971"
"71959","71833"
"73142","73120"
"73142","73134"
"73142","73162"
"73142","73012"
"73142","73013"
"73142","73078"
"73142","73099"
"94133","94108"
"94133","94109"
"94133","94111"
"94134","94124"
"94134","94005"
"94134","94014"
"94134","94110"
"94134","94112"
"94158","94124"
"94158","94107"
"94301","94303"
"94301","94304"
"94301","94305"
"94301","94306"
"94301","94025"
"94303","94301"
"94303","94306"
"94303","94025"
"94303","94043"
"94304","94301"
"94304","94305"
"94304","94306"
"94304","94022"
"94304","94025"
"94304","94028"
"94305","94301"
"94305","94304"
"94305","94306"
"94305","94025"
"94305","94028"
"94306","94301"
"94306","94303"
"94306","94304"
"94306","94305"
"94306","94022"
"94306","94040"
"94306","94043"
"94401","94402"
"94401","94403"
"94401","94404"
"94401","94010"
"94402","94401"
"94402","94403"
"94402","94002"
"94402","94010"
"94402","94062"
"94403","94401"
"94403","94402"
"94403","94404"
"94403","94002"
"94403","94010"
"94404","94401"
"94404","94403"
"94404","94002"
"94404","94065"
"94501","94502"
"94501","94601"
"94501","94606"
"94501","94607"
"94501","94621"
"94502","94501"
"94502","94621"
"94503","94534"
"94503","94558"
"94503","94559"
"94503","94589"
"94503","94591"
"94505","94513"
"94505","94514"
"94505","95206"
"94505","95234"
"94505","95304"
"94506","94517"
"94506","94526"
"94506","94528"
"94506","94551"
"94506","94582"
"94506","94588"
"94507","94526"
"94507","94528"
"94507","94549"
"94507","94556"
"94507","94583"
"94507","94595"
"94507","94596"
"94507","94598"
"42440","42431"
"42440","42442"
"42440","42464"
"48801","48832"
"48801","48615"
